date,company,annualized_revenue_usd,kind,source_label,source_url,note
2026-08-13,OpenAI,40000000000,media,Bloomberg,https://www.bloomberg.com/news/articles/2026-08-13/openai-s-revenue-run-rate-tops-40-billion-ahead-of-ipo,'$40B 이상'. 7월 한 달 런레이트 +20% (Brockman 사내 공지)
2026-07-31,Anthropic,65000000000,media,Bloomberg / CNBC / Reuters,https://www.bloomberg.com/news/articles/2026-08-17/anthropic-revenue-run-rate-surpasses-65-billion-ahead-of-ipo,"7월 말 $65B. 2026 Q2 매출 $11.5B(전년 $787M), Q1 $4.73B"
2026-07-14,DeepSeek,450000000,media,The Information,https://www.theinformation.com/articles/deepseeks-annualized-revenue-nears-500-million-boosting-fundraise-ipo-plans,$400~500M 범위의 중간값
2026-06-30,Google (Gemini),9200000000,estimate,자체 추정 (Alphabet Q2 2026),https://s206.q4cdn.com/479360582/files/doc_financials/2026/q2/2026q2-alphabet-earnings-release.pdf,API 22B 토큰/분 ≈ $4.6B + 구독 ≈ $3.0B + Enterprise ≈ $1.6B. 참고: Google Cloud 분기 매출 $24.8B(+82%)
2026-06-30,xAI (Grok),500000000,estimate,Bloomberg 추정치 인용 (복수 매체),https://valueaddvc.com/blog/xai-valuation-2026-the-230b-series-e-the-125t-spacex-merger-and-what-grok-is-worth-today,"2026년 중반 약 $500M ARR(Grok 단독). 2025년 Grok 매출 ~$350M, 2026 목표 $2B. S-1: 2026 Q1 X+Grok 구독매출 증가분 연환산 ~$708M"
2026-06-30,Moonshot AI (Kimi),300000000,media,Bloomberg,https://www.bloomberg.com/news/articles/2026-07-21/china-s-moonshot-in-talks-on-pre-ipo-funds-at-50-billion-value,
2026-05-31,OpenAI,25000000000,estimate,복수 보도 (Reuters/FutureSearch/Epoch),https://futuresearch.ai/openai-financial-forecast/,2~5월 약 $25B 정체 구간 보도 종합
2026-05-15,Anthropic,47000000000,disclosure,Anthropic (Series H),https://www.anthropic.com/news/series-h,5월 중 $47B 돌파 ($965B 밸류에이션)
2026-04-30,Moonshot AI (Kimi),200000000,media,Bloomberg (HF Capital 성명),https://www.bloomberg.com/news/articles/2026-05-07/kimi-chatbot-maker-moonshot-ai-valued-at-20-billion-in-meituan-led-round,
2026-04-06,Anthropic,30000000000,disclosure,Anthropic,https://www.anthropic.com/news/google-broadcom-partnership-compute,$30B 돌파
